学年,対象の漢字,読み,文章,ぶんしょう,英語,スペイン語
5,務,つと,{今年}から{放送委員長}を[務]めることになった。,{ことし}から{ほうそういいんちょう}を[つと]めることになった。,"Starting this year, he will serve as the chairman of the broadcasting committee.","A partir de este año, ocupará el cargo de presidente del comité de radiodifusión."
5,務,む,スパイへ、{暗号}で{任}[務]が{伝}えられる。,スパイへ、{あんごう}で{にん}[む]が{つた}えられる。,The mission is conveyed to the spy in code.,La misión se transmite al espía en código.
5,勢,いきお,[勢]いよく{海}に{飛}びこむ。,[いきお]いよく{うみ}に{と}びこむ。,Jump into the sea with great force.,Salta al mar con mucha fuerza.
5,勢,せい,{来年}の{運}[勢]をうらなってもらう。,{らいねん}の{うん}[せい]をうらなってもらう。,Get your fortune told for next year.,Obtenga su adivinación para el próximo año.
5,厚,あつ,{分}[厚]い{本}を{一週間}かけて{読}んだ。,{ぶ}[あつ]い{ほん}を{いちしゅうかん}かけて{よ}んだ。,I read a thick book over the course of a week.,Leí un libro grueso en el transcurso de una semana.
5,句,く,{国語}の{宿題}で{俳}[句]を{考}える。,{こくご}の{しゅくだい}で{はい}[く]を{かんが}える。,Thinking about haiku for Japanese language homework.,Pensando en haiku para la tarea de idioma japonés.
5,可,か,{一分}で{日本}からアメリカに{行}くなんて{不}[可]{能}だ。,{いちふん}で{にっぽん}からアメリカに{い}くなんて{ふ}[か]{のう}だ。,It is impossible to go from Japan to America in one minute.,Es imposible ir de Japón a Estados Unidos en un minuto.
5,史,し,{父}から{借}りた{歴}[史]{小説}を{読}む。,{ちち}から{か}りた{れき}[し]{しょうせつ}を{よ}む。,I read a historical novel that I borrowed from my father.,Leí una novela histórica que tomé prestada de mi padre.
5,告,こく,ずっと{好}きだった{人}に[告]{白}する。,ずっと{す}きだった{ひと}に[こく]{はく}する。,Confess to the person you've loved for a long time.,Confiésate a la persona que amas desde hace mucho tiempo.
5,告,つ,だれかの[告]げ{口}で{秘密}がバレてしまった。,だれかの[つ]げ{ぐち}で{ひみつ}がバレてしまった。,The secret was revealed by someone telling me.,El secreto fue revelado por alguien que me lo dijo.
5,喜,き,{宝}くじが{当}たって[喜]{色満面}の{笑}みをうかべる。,{たから}くじが{あ}たって[き]{しょくまんめん}の{え}みをうかべる。,He smiles with joy after winning the lottery.,Sonríe de alegría después de ganar la lotería.
5,喜,よろこ,{友達}から{誕生日}プレゼントをもらって[喜]ぶ。,{ともだち}から{たんじょうび}プレゼントをもらって[よろこ]ぶ。,I am happy to receive a birthday present from my friend.,Estoy feliz de recibir un regalo de cumpleaños de mi amigo.
5,営,いとな,{松本}さんのお{父}さんは、ケーキ{屋}さんを[営]んでいる。,{まつもと}さんのお{とう}さんは、ケーキ{や}さんを[いとな]んでいる。,Matsumoto's father runs a cake shop.,El padre de Matsumoto tiene una pastelería.
5,営,えい,{大体}のコンビニは{二十四時間}[営]{業}だ。,{だいたい}のコンビニは{にじゅうよんじかん}[えい]{ぎょう}だ。,Most convenience stores are open 24 hours a day.,La mayoría de las tiendas de conveniencia están abiertas las 24 horas del día.
5,因,いん,{今日}ねぼうした{原}[因]は、{昨日}の{夜}ふかしだろう。,{きょう}ねぼうした{げん}[いん]は、{きのう}の{よ}ふかしだろう。,The reason why I felt sleepy today was probably because I was asleep last night.,La razón por la que sentí sueño hoy probablemente fue porque estuve dormido anoche.
5,団,だん,{古}い[団]{地}が{建}て{直}されてきれいになった。,{ふる}い[だん]{ち}が{た}て{なお}されてきれいになった。,The old housing complex has been rebuilt and is now beautiful.,El antiguo complejo de viviendas ha sido reconstruido y ahora es hermoso.
5,囲,い,{広}いはん[囲]の{中}で、{迷子}の{犬}を{探}す。,{ひろ}いはん[い]の{なか}で、{まいご}の{いぬ}を{さが}す。,Search for a lost dog in a large enclosure.,Busque un perro perdido en un recinto grande.
5,囲,かこ,{犬}をみんなで{取}り[囲]んでなでる。,{いぬ}をみんなで{と}り[かこ]んでなでる。,Everyone surrounds the dog and strokes it.,Todos rodean al perro y lo acarician.
5,圧,あつ,{田村}くんは、{低気}[圧]の{日}は{頭}が{痛}くなる。,{たむら}くんは、{ていき}[あつ]の{ひ}は{あたま}が{いた}くなる。,Tamura-kun gets a headache on days with low pressure.,A Tamura-kun le duele la cabeza los días con baja presión.
5,在,あ,お{宝}の[在]りかを{聞}き{出}す。,お{たから}の[あ]りかを{き}き{だ}す。,Find out where the treasure is.,Descubra dónde está el tesoro.
5,在,ざい,かれはＵＦＯの{存}[在]を{信}じている。,かれはＵＦＯの{そん}[ざい]を{しん}じている。,He believes in the existence of UFOs.,Él cree en la existencia de los ovnis.
5,均,きん,{給食}を[均]{等}に{盛}り{付}ける。,{きゅうしょく}を[きん]{とう}に{も}り{つ}ける。,Arrange school lunches evenly.,Organice los almuerzos escolares de manera uniforme.
5,型,かた,[型]にはまらない{意外}な{発想}をする。,[かた]にはまらない{いがい}な{はっそう}をする。,Come up with unexpected and unconventional ideas.,Proponga ideas inesperadas y poco convencionales.
5,型,けい,{博物館}に{大}きな{飛行機}の{模}[型]がかざられている。,{はくぶつかん}に{おお}きな{ひこうき}の{も}[けい]がかざられている。,A large model of an airplane is displayed in the museum.,En el museo se exhibe un modelo grande de un avión.
5,基,き,[基]{本}をしっかり{勉強}して{応用問題}を{解}く。,[き]{ほん}をしっかり{べんきょう}して{おうようもんだい}を{と}く。,Study the basics thoroughly and solve applied problems.,Estudie los conceptos básicos a fondo y resuelva problemas aplicados.
5,堂,どう,いつも、お{昼}の{食}[堂]は{混}んでいる。,いつも、お{ひる}の{しょく}[どう]は{こ}んでいる。,The cafeteria is always crowded at lunchtime.,La cafetería siempre está llena a la hora del almuerzo.
5,報,ほう,ニュースの{放送中}に{速}[報]が{届}く。,ニュースの{ほうそうちゅう}に{そく}[ほう]が{とど}く。,Breaking news will be delivered during the news broadcast.,Las últimas noticias se entregarán durante la transmisión de noticias.
5,境,きょう,かん[境]{問題}を{解決}する{方法}を{考}える。,かん[きょう]{もんだい}を{かいけつ}する{ほうほう}を{かんが}える。,Think of ways to solve environmental problems.,Piense en formas de resolver los problemas ambientales.
5,境,さかい,[境]{目}に{線}を{引}いてわかりやすくする。,[さかい]{め}に{せん}を{ひ}いてわかりやすくする。,Draw a line at the boundary to make it easier to understand.,Dibuja una línea en el límite para que sea más fácil de entender.
5,墓,はか,この[墓]{場}はすぐとなりにお{寺}がある。,この[はか]{ば}はすぐとなりにお{てら}がある。,There is a temple right next to this cemetery.,Hay un templo justo al lado de este cementerio.
5,墓,ぼ,{祖父}の[墓]{前}に{花}を{供}える。,{そふ}の[ぼ]{ぜん}に{はな}を{そな}える。,Place flowers at your grandfather's grave.,Coloca flores en la tumba de tu abuelo.
5,増,ぞう,{冬}はかぜをひく{人}が[増]{加}する。,{ふゆ}はかぜをひく{ひと}が[ぞう]{か}する。,"In winter, the number of people who catch a cold increases.",En invierno aumenta el número de personas que se resfrían.
5,増,ふ,{学校}の{図書室}に{新}しい{本}が[増]える。,{がっこう}の{としょしつ}に{あたら}しい{ほん}が[ふ]える。,New books will be added to the school library.,Se agregarán nuevos libros a la biblioteca de la escuela.
5,増,ま,{夏}が{近}づいてだんだん{暑}さが[増]してくる。,{なつ}が{ちか}づいてだんだん{あつ}さが[ま]してくる。,"As summer approaches, the heat gradually increases.","A medida que se acerca el verano, el calor aumenta gradualmente."
5,士,し,{武}[士]に{二言}はない。うそはつかないよ。,{ぶ}[し]に{にごん}はない。うそはつかないよ。,There are no two words for a samurai. I can't lie.,No hay dos palabras para un samurái. No puedo mentir.
5,夢,む,{悪}[夢]を{見}て、{朝}から{最悪}の{気分}だ。,{あく}[む]を{み}て、{あさ}から{さいあく}の{きぶん}だ。,I had a nightmare and have been feeling the worst since morning.,Tuve una pesadilla y me siento peor desde la mañana.
5,夢,ゆめ,{昔}から、ごうか{客船}での{世界一周旅行}を[夢]{見}ている。,{むかし}から、ごうか{きゃくせん}での{せかいいちしゅうりょこう}を[ゆめ]{み}ている。,I have always dreamed of traveling around the world on a Gouka cruise ship.,Siempre soñé con viajar alrededor del mundo en un crucero Gouka.
5,妻,さい,あの{夫}[妻]はとても{仲}がいいことで{有名}だ。,あの{ふ}[さい]はとても{なか}がいいことで{ゆうめい}だ。,That couple is famous for being very close.,Esa pareja es famosa por ser muy unida.
5,婦,ふ,{家政}[婦]さんにそうじをたのむ。,{かせい}[ふ]さんにそうじをたのむ。,Ask the housekeeper to clean it for you.,Pídale al ama de llaves que lo limpie por usted.
5,容,よう,{美}[容]{室}でかみの{毛}を{切}ってもらう。,{び}[よう]{しつ}でかみの{け}を{き}ってもらう。,Have your hair cut at a beauty salon.,Córtate el pelo en un salón de belleza.
5,寄,き,{魚}をしっかり{焼}いて[寄]{生虫}の{対策}をする。,{さかな}をしっかり{や}いて[き]{せいちゅう}の{たいさく}をする。,Cook the fish thoroughly to prevent parasites.,Cocine bien el pescado para prevenir parásitos.
5,寄,よ,[寄]り{道}せずにまっすぐ{家}に{帰}る。,[よ]り{みち}せずにまっすぐ{いえ}に{かえ}る。,Go straight home without making any detours.,Vuelve directamente a casa sin desviarte.
5,導,みちび,{様々}なヒントから{答}えを[導]き{出}す。,{さまざま}なヒントから{こた}えを[みちび]き{だ}す。,Deduce the answer from various hints.,Deduzca la respuesta a partir de varias pistas.
5,居,い,[居]{間}でこたつに{入}ってダラダラする。,[い]{ま}でこたつに{はい}ってダラダラする。,I sit under the kotatsu in the living room and laze around.,Me siento debajo del kotatsu en la sala de estar y holgazaneo.
5,居,きょ,{一人暮}らしのための{新}[居]を{探}す。,{ひとりぐ}らしのための{しん}[きょ]を{さが}す。,Looking for a new home to live alone.,Buscando un nuevo hogar para vivir solo.
5,属,ぞく,{金}[属]は{電気}を{通}しやすい。,{きん}[ぞく]は{でんき}を{とお}しやすい。,Metals easily conduct electricity.,Los metales conducen fácilmente la electricidad.
5,布,ぬの,さいほうに{使}う[布]を{買}いに{行}く。,さいほうに{つか}う[ぬの]を{か}いに{い}く。,I'm going to buy some cloth to use for Saiho.,Voy a comprar algo de tela para usar con Saiho.
5,布,ふ,{落}ちていたさい[布]を{交番}に{届}ける。,{お}ちていたさい[ふ]を{こうばん}に{とど}ける。,Deliver the fallen cloth to the police box.,Entrega la tela caída a la cabina de policía.
5,師,し,{医}[師]から{病気}の{説明}をしてもらう。,{い}[し]から{びょうき}の{せつめい}をしてもらう。,Ask your doctor to explain your illness.,Pídale a su médico que le explique su enfermedad.
5,常,じょう,とつぜん{非}[常]ベルが{鳴}っておどろく。,とつぜん{ひ}[じょう]ベルが{な}っておどろく。,I was surprised when the emergency bell suddenly rang.,Me sorprendió cuando de repente sonó el timbre de emergencia.
5,常,つね,[常]{日}ごろからものを{大切}にする。,[つね]{ひ}ごろからものを{たいせつ}にする。,Cherish things on a daily basis.,Aprecia las cosas a diario.
5,幹,かん,{修学旅行}で、{新}[幹]{線}に{乗}って{東京}に{行}く。,{しゅうがくりょこう}で、{しん}[かん]{せん}に{の}って{とうきょう}に{い}く。,I'm going to Tokyo on a school trip by taking the Shinkansen.,Me voy a Tokio de viaje escolar cogiendo el Shinkansen.
5,幹,みき,{木}の[幹]にもたれかかって{少}し{休}む。,{き}の[みき]にもたれかかって{すこ}し{やす}む。,I lean against the trunk of a tree and rest for a while.,Me apoyo en el tronco de un árbol y descanso un rato.
5,序,じょ,{学芸会}で{発表}する{順}[序]が{決}まる。,{がくげいかい}で{はっぴょう}する{じゅん}[じょ]が{き}まる。,The order of presentations at the school performance will be determined.,Se determinará el orden de las presentaciones en la función escolar.
5,弁,べん,[弁]{護士}と{検事}が{法}ていで{争}う。,[べん]{ごし}と{けんじ}が{ほう}ていで{あらそ}う。,Lawyers and prosecutors fight in court.,Abogados y fiscales pelean en los tribunales.
5,張,ちょう,{父}が{出}[張]で{二日}の{間}、いなくなる。,{ちち}が{しゅっ}[ちょう]で{ふたか}の{あいだ}、いなくなる。,My father will be gone for two days on a business trip.,Mi padre se ausentará dos días por un viaje de negocios.
5,張,は,{妹}は、おばけはいると{言}い[張]っている。,{いもうと}は、おばけはいると{い}い[は]っている。,My sister insists that there are ghosts.,Mi hermana insiste en que hay fantasmas.
5,往,おう,{行}きと{帰}りで、{家}と{学校}を[往]{復}する。,{い}きと{かえ}りで、{いえ}と{がっこう}を[おう]{ふく}する。,I go back and forth between home and school.,Voy y vengo entre casa y la escuela.
5,得,え,{本}を{売}ることでお{金}を[得]る。,{ほん}を{う}ることでお{かね}を[え]る。,Earn money by selling books.,Gana dinero vendiendo libros.
5,得,とく,ポイントカードを{今作}るとお[得]ですよ。,ポイントカードを{いまつく}るとお[とく]ですよ。,It's a good idea to get a point card now.,Es una buena idea obtener una tarjeta de puntos ahora.
5,復,ふく,{職員室}と{教室}を{何度}も{往}[復]する。,{しょくいんしつ}と{きょうしつ}を{なんど}も{おう}[ふく]する。,I go back and forth between the staff room and the classroom many times.,Voy y vengo entre la sala de profesores y el salón de clases muchas veces.
5,志,こころざ,{入院}したのをきっかけに{医者}を[志]す。,{にゅういん}したのをきっかけに{いしゃ}を[こころざ]す。,"After being hospitalized, he decided to become a doctor.","Después de ser hospitalizado, decidió ser médico."
5,志,こころざし,{高}い[志]を{持}って{勉強}に{取}り{組}む。,{たか}い[こころざし]を{も}って{べんきょう}に{と}り{く}む。,Approach your studies with high aspirations.,Acércate a tus estudios con altas aspiraciones.
5,志,し,{強}い{意}[志]で{最後}までやり{通}す。,{つよ}い{い}[し]で{さいご}までやり{とお}す。,Follow through to the end with strong will.,Sigue hasta el final con gran voluntad.
5,応,おう,テストの[応]{用問題}で{答}えをまちがえた。,テストの[おう]{ようもんだい}で{こた}えをまちがえた。,I gave the wrong answer on an applied question on a test.,Di una respuesta incorrecta a una pregunta aplicada en un examen.
5,応,こた,あっちで{手}をふっている{友達}に、こっちも{手}をふって[応]える。,あっちで{て}をふっている{ともだち}に、こっちも{て}をふって[こた]える。,"When my friend is waving over there, I wave in response.","Cuando mi amigo saluda allí, yo saludo en respuesta."
5,快,かい,エアコンで{部屋}を[快]{適}な{温度}にする。,エアコンで{へや}を[かい]{てき}な{おんど}にする。,Keep the room at a comfortable temperature with an air conditioner.,Mantenga la habitación a una temperatura agradable con un aire acondicionado.
5,性,せい,{個}[性]{的}な{作品}を{作}り{上}げる。,{こ}[せい]{てき}な{さくひん}を{つく}り{あ}げる。,Create unique works.,Crea obras únicas.
5,情,じょう,{私}とかれの{間}には{固}い{友}[情]がある。,{わたくし}とかれの{あいだ}には{かた}い{ゆう}[じょう]がある。,There is a strong friendship between me and him.,Hay una fuerte amistad entre él y yo.
5,情,なさ,{佐藤}くんは[情]け{深}い{性格}だ。,{さとう}くんは[なさ]け{ぶか}い{せいかく}だ。,Sato-kun has a compassionate personality.,Sato-kun tiene una personalidad compasiva.
5,態,たい,とんでもない{事}[態]になってしまった。,とんでもない{じ}[たい]になってしまった。,The situation has become unbelievable.,La situación se ha vuelto increíble.
5,慣,かん,いつもの{習}[慣]で、{歯}みがきして{顔}を{洗}う。,いつもの{しゅう}[かん]で、{は}みがきして{かお}を{あら}う。,Brush your teeth and wash your face as usual.,Cepíllate los dientes y lávate la cara como de costumbre.
5,慣,な,{新}しい{学年}に[慣]れてきん{張}しなくなる。,{あたら}しい{がくねん}に[な]れてきん{ばり}しなくなる。,They get used to the new school year and are no longer nervous.,Se acostumbran al nuevo año escolar y ya no están nerviosos.
5,技,ぎ,{素晴}らしい{演}[技]で{人々}を{感動}させる。,{すば}らしい{えん}[ぎ]で{ひとびと}を{かんどう}させる。,Impress people with your wonderful acting.,Impresiona a la gente con tu maravillosa actuación.
5,招,まね,{先生}が{生徒}を{手}[招]きして{呼}ぶ。,{せんせい}が{せいと}を{て}[まね]きして{よ}ぶ。,The teacher beckons the students.,El profesor hace una seña a los alumnos.
5,授,じ,[授]{業}の{最後}までやる{気}が{持続}しない。,[じ]{ゅぎょう}の{さいご}までやる{き}が{じぞく}しない。,I can't stay motivated until the end of the class.,No puedo mantenerme motivado hasta el final de la clase.
5,授,じゅ,{暗記}のコツを{伝}[授]してもらう。,{あんき}のコツを{でん}[じゅ]してもらう。,Ask them to teach you memorization tips.,Pídales que le enseñen consejos de memorización.
5,採,さい,{先生}が{算数}プリントを[採]{点}する。,{せんせい}が{さんすう}プリントを[さい]{てん}する。,The teacher grades the math printouts.,El maestro califica las impresiones de matemáticas.
5,採,と,{農園}でいちごを[採]って{集}める。,{のうえん}でいちごを[と]って{あつ}める。,Pick and collect strawberries at the farm.,Recoge y recolecta fresas en la granja.
5,接,せつ,アルバイトの{面}[接]を{受}ける。,アルバイトの{めん}[せつ]を{う}ける。,Have an interview for a part-time job.,Tener una entrevista para un trabajo a tiempo parcial.
5,提,てい,その[提]{案}を{受}け{入}れることはできない。,その[てい]{あん}を{う}け{い}れることはできない。,I cannot accept that proposal.,No puedo aceptar esa propuesta.
5,損,そん,セールのことを{知}らず、[損]してしまった。,セールのことを{し}らず、[そん]してしまった。,I didn't know about the sale and ended up losing money.,No sabía de la venta y terminé perdiendo dinero.
5,支,ささ,たのまれてキャタツを[支]える。,たのまれてキャタツを[ささ]える。,Support the cat at your request.,Apoye al gato cuando lo solicite.
5,支,し,ま{王}によって{世界}が[支]{配}される。,ま{おう}によって{せかい}が[し]{はい}される。,The world is ruled by a king.,El mundo está gobernado por un rey.
5,政,せい,{国民}の{声}を[政]{府}に{伝}える。,{こくみん}の{こえ}を[せい]{ふ}に{つた}える。,convey the voice of the people to the government.,Transmitir la voz del pueblo al gobierno.
5,故,こ,パソコンが[故]{障}したので{修理}してもらった。,パソコンが[こ]{しょう}したので{しゅうり}してもらった。,"My computer broke down, so I had it repaired.","Mi computadora se averió, así que la hice reparar."
5,救,きゅう,{立}てこもり{犯}から{人質}を[救]{出}する。,{た}てこもり{はん}から{ひとじち}を[きゅう]{しゅつ}する。,Rescue the hostages from the robbers.,Rescata a los rehenes de los ladrones.
5,救,すく,{努力}を{認}めてもらえて、[救]われた{気持}ちになる。,{どりょく}を{みと}めてもらえて、[すく]われた{きも}ちになる。,I feel relieved when my efforts are recognized.,Me siento aliviado cuando se reconocen mis esfuerzos.
5,断,ことわ,いそがしかったので、テレビの{取材}を[断]った。,いそがしかったので、テレビの{しゅざい}を[ことわ]った。,I declined a TV interview because I was busy.,Rechacé una entrevista televisiva porque estaba ocupado.
5,断,だん,{探}ていは、かの{女}が{犯人}だと[断]{言}した。,{もとむ}ていは、かの{おんな}が{はんにん}だと[だん]{げん}した。,The detective determined that the woman was the culprit.,El detective determinó que la mujer era la culpable.
5,旧,きゅう,{停電}してからすぐ{次}の{日}に{復}[旧]した。,{ていでん}してからすぐ{つぎ}の{ひ}に{ふっ}[きゅう]した。,The power was restored the next day after the power went out.,La energía se restableció al día siguiente después del corte de energía.
5,易,い,{安}[易]な{選}たくをして、{後}かいする。,{あん}[い]な{せん}たくをして、{こう}かいする。,Make the easy choice and leave it behind.,Toma la decisión fácil y déjalo atrás.
5,易,えき,{日本}は{色}んな{国}と{貿}[易]をしている。,{にっぽん}は{いろ}んな{くに}と{ぼう}[えき]をしている。,Japan trades with various countries.,Japón comercia con varios países.
5,易,やさ,テストの{中}に[易]しい{問題}が{混}ざっていた。,テストの{なか}に[やさ]しい{もんだい}が{ま}ざっていた。,There were some easy questions mixed into the test.,Hubo algunas preguntas fáciles mezcladas en la prueba.
5,暴,あば,ネコがつめ{切}りのとちゅうで[暴]れ{出}す。,ネコがつめ{き}りのとちゅうで[あば]れ{だ}す。,A cat goes wild with a nail clipper.,Un gato se vuelve loco con un cortaúñas.
5,暴,ぼう,きょう[暴]なライオンをおりに{閉}じ{込}める。,きょう[ぼう]なライオンをおりに{と}じ{こ}める。,Lock up a ferocious lion in a cage.,Encierra a un león feroz en una jaula.
5,条,じょう,{日本}は{様々}な{国}と[条]{約}を{結}んでいる。,{にっぽん}は{さまざま}な{くに}と[じょう]{やく}を{むす}んでいる。,Japan has concluded treaties with various countries.,Japón ha celebrado tratados con varios países.
5,枝,えだ,{落}ちている[枝]を{集}めてたき{火}をする。,{お}ちている[えだ]を{あつ}めてたき{び}をする。,Collect fallen branches and make a bonfire.,Recoge ramas caídas y enciende una hoguera.
5,査,さ,{好}きな{食}べ{物}をアンケートで{調}[査]する。,{す}きな{た}べ{もの}をアンケートで{ちょう}[さ]する。,Survey your favorite foods.,Encuesta tus comidas favoritas.
5,格,かく,{性}[格]しん{断}テストで、みんなで{盛}り{上}がる。,{せい}[かく]しん{だん}テストで、みんなで{も}り{あ}がる。,Everyone gets excited with the personality test.,Todo el mundo se emociona con el test de personalidad.
5,桜,さくら,{去年}の{春}は、[桜]の{木}の{下}でお{花見}をした。,{きょねん}の{はる}は、[さくら]の{き}の{もと}でお{はなみ}をした。,"Last spring, we enjoyed cherry blossom viewing under the cherry blossom trees.","La primavera pasada, disfrutamos viendo los cerezos en flor bajo los cerezos en flor."
5,検,けん,{空港}で{手荷物}[検]{査}を{受}ける。,{くうこう}で{てにもつ}[けん]{さ}を{う}ける。,Pass baggage inspection at the airport.,Pasar la inspección de equipaje en el aeropuerto.
5,構,かま,{竹刀}を[構]えて{試合開始}の{合図}を{待}つ。,{しない}を[かま]えて{しあいかいし}の{あいず}を{ま}つ。,He holds his bamboo sword and waits for the signal to start the match.,Sostiene su espada de bambú y espera la señal para comenzar el partido.
5,構,こう,{全体}の[構]{成}を{考}えてから{作文}を{書}き{始}める。,{ぜんたい}の[こう]{せい}を{かんが}えてから{さくぶん}を{か}き{はじ}める。,Start writing your essay after thinking about the overall structure.,Empiece a escribir su ensayo después de pensar en la estructura general.
5,武,ぶ,{戦国}[武]{将}たちの{名前}を{暗記}した。,{せんごく}[ぶ]{しょう}たちの{なまえ}を{あんき}した。,I memorized the names of Sengoku warlords.,Memoricé los nombres de los señores de la guerra Sengoku.
5,武,む,{強敵}があらわれ、[武]{者}ぶるいする。,{きょうてき}があらわれ、[む]{しゃ}ぶるいする。,A strong enemy appears and fights as a warrior.,Aparece un enemigo fuerte y lucha como un guerrero.
5,歴,れき,{長}い[歴]{史}のある{寺院}をおとずれる。,{なが}い[れき]{し}のある{じいん}をおとずれる。,Visit a temple with a long history.,Visita un templo con una larga historia.
5,殺,ころ,{部屋}に{入}ってきた{虫}は[殺]さず{外}ににがしている。,{へや}に{はい}ってきた{むし}は[ころ]さず{そと}ににがしている。,Insects that come into the room are not killed and are left outside.,Los insectos que entran en la habitación no mueren y se quedan afuera.
5,殺,さつ,{必}[殺]わざで{敵}をみんなやっつけた。,{ひっ}[さつ]わざで{てき}をみんなやっつけた。,Defeated all enemies with special moves.,Derrotó a todos los enemigos con movimientos especiales.
5,毒,どく,お{店}に{入}る{前}に{手}を{消}[毒]する。,お{みせ}に{はい}る{まえ}に{て}を{しょう}[どく]する。,Disinfect your hands before entering the store.,Desinfecta tus manos antes de entrar a la tienda.
5,比,くら,{二}つのメロンを[比]べて、{重}い{方}を{買}っていく。,{ふた}つのメロンを[くら]べて、{おも}い{ほう}を{か}っていく。,Compare the two melons and buy the heavier one.,Compara los dos melones y compra el más pesado.
5,比,ひ,カレーに{入}れるスパイスの[比]{率}を{変}える。,カレーに{い}れるスパイスの[ひ]{りつ}を{か}える。,Vary the ratio of spices in your curry.,Varíe la proporción de especias en su curry.
5,永,えい,{全部}の{歯}が、[永]{久歯}に{生}えかわった。,{ぜんぶ}の{は}が、[えい]{きゅうし}に{は}えかわった。,All teeth have been replaced by permanent teeth.,Todos los dientes han sido reemplazados por dientes permanentes.
5,永,なが,オニをたおして、ももたろうたちは{末}[永]く{幸}せに{暮}らした。,オニをたおして、ももたろうたちは{すえ}[なが]く{しあわ}せに{く}らした。,"After defeating Oni, Momotarou and his friends lived happily ever after.","Después de derrotar a Oni, Momotarou y sus amigos vivieron felices para siempre."
5,河,か,[河]{口}の{近}くではめずらしい{魚}がつれる。,[か]{こう}の{ちか}くではめずらしい{さかな}がつれる。,Rare fish can be caught near the river mouth.,Se pueden pescar peces raros cerca de la desembocadura del río.
5,河,かわ,{今日}は{天気}がいいから、{遠}くの[河]までつりに{行}こう。,{きょう}は{てんき}がいいから、{とお}くの[かわ]までつりに{い}こう。,"The weather is nice today, so let's go fishing at a distant river.","Hoy hace buen tiempo, así que vayamos a pescar a un río lejano."
5,液,えき,{森}の{木}の{樹}[液]に、たくさんの{虫}が{集}まる。,{もり}の{き}の{じゅ}[えき]に、たくさんの{むし}が{あつ}まる。,Many insects gather in the sap of trees in the forest.,Muchos insectos se reúnen en la savia de los árboles del bosque.
5,混,こ,{朝}と{夕方}の{電車}は[混]んでいる。,{あさ}と{ゆうがた}の{でんしゃ}は[こ]んでいる。,Trains are crowded in the morning and evening.,Los trenes están llenos de gente por la mañana y por la noche.
5,混,こん,{案内図}が{分}かりづらくて[混]{乱}した。,{あんないず}が{わ}かりづらくて[こん]{らん}した。,The guide map was difficult to understand and I was confused.,El mapa guía era difícil de entender y estaba confundido.
5,混,ま,{生}クリームに{砂糖}も[混]ぜてあわ{立}てる。,{なま}クリームに{さとう}も[ま]ぜてあわ{だ}てる。,Mix the sugar with the fresh cream and whisk.,Mezclar el azúcar con la nata fresca y batir.
5,減,げん,{親}せきの{子}とのバスケ{勝負}で{手加}[減]する。,{しん}せきの{こ}とのバスケ{しょうぶ}で{てか}[げん]する。,He goes easy on himself in a basketball game with a relative's child.,Se muestra suave consigo mismo en un partido de baloncesto con el hijo de un familiar.
5,減,へ,{何回}も{確認}して{忘}れ{物}を[減]らす。,{なんかい}も{かくにん}して{わす}れ{もの}を[へ]らす。,Check it multiple times to reduce forgetting things.,Compruébalo varias veces para reducir el olvido de cosas.
5,測,そく,{身長}[測]{定}の{結果}を{比}べ{合}う。,{しんちょう}[そく]{てい}の{けっか}を{くら}べ{あ}う。,Compare the height measurement results.,Compare los resultados de la medición de altura.
5,測,はか,{天}びんで{水}の{重量}を[測]る。,{てん}びんで{みず}の{じゅうりょう}を[はか]る。,Measure the weight of the water using a balance.,Mida el peso del agua utilizando una balanza.
5,準,じゅん,{災害}が{起}こったときに{備}えて[準]{備}しておく。,{さいがい}が{お}こったときに{そな}えて[じゅん]{び}しておく。,Be prepared in case a disaster occurs.,Esté preparado en caso de que ocurra un desastre.
5,演,えん,{来週}の[演]{奏会}のために、{必死}で{練習}する。,{らいしゅう}の[えん]{そうかい}のために、{ひっし}で{れんしゅう}する。,I'm practicing hard for next week's concert.,Estoy practicando mucho para el concierto de la próxima semana.
5,潔,けつ,こまめにそうじをして{清}[潔]にする。,こまめにそうじをして{せい}[けつ]にする。,Clean frequently and keep it clean.,Límpielo con frecuencia y manténgalo limpio.
5,災,さい,この{学校}では{毎年}、{防}[災]{訓練}が{行}われる。,この{がっこう}では{まいとし}、{ぼう}[さい]{くんれん}が{おこな}われる。,Disaster prevention drills are held at this school every year.,Todos los años se llevan a cabo simulacros de prevención de desastres en esta escuela.
5,燃,ねん,[燃]{料切}れでバイクが{動}かなくなる。,[ねん]{りょうき}れでバイクが{うご}かなくなる。,The bike won't start because it runs out of fuel.,La moto no arranca porque se queda sin combustible.
5,燃,も,{明日}は[燃]えるゴミの{日}だね。,{あす}は[も]えるゴミの{ひ}だね。,Tomorrow is Burnable Garbage Day.,Mañana es el Día de la Basura Quemable.
5,版,はん,[版]{画}をほるとちゅうで{指先}をけがした。,[はん]{が}をほるとちゅうで{ゆびさき}をけがした。,I injured my fingertip while hoisting a print.,Me lastimé la yema del dedo mientras levantaba una huella.
5,犯,はん,{店}にある{防}[犯]カメラの{点検}をする。,{みせ}にある{ぼう}[はん]カメラの{てんけん}をする。,Check the security cameras in the store.,Revisa las cámaras de seguridad de la tienda.
